source_id,target_id,connection_type,flow_direction,capacity,length_km,voltage_kv
paccom_001,paccom_002,communication,bidirectional,,,
paccom_001,paccom_003,communication,bidirectional,,,
scada_srv_001,paccom_001,communication,bidirectional,,,
rtu_001,paccom_002,communication,bidirectional,,,
rtu_002,paccom_003,communication,bidirectional,,,
scada_srv_001,rtu_001,control,bidirectional,,,
scada_srv_001,rtu_002,control,bidirectional,,,
rtu_001,br_001,control,bidirectional,,,
rtu_002,br_002,control,bidirectional,,,
vs_001,rtu_001,monitoring,unidirectional,,,
cs_001,rtu_002,monitoring,unidirectional,,,
ts_001,rtu_002,monitoring,unidirectional,,,
sub_001,fd_001,electrical,bidirectional,2500,5,12
sub_001,fd_002,electrical,bidirectional,2000,3,12
sub_002,fd_003,electrical,bidirectional,1500,4,12
fd_001,tr_001,electrical,bidirectional,1000,,
fd_003,tr_002,electrical,bidirectional,800,,
fd_001,mt_001,electrical,bidirectional,500,,
fd_002,mt_002,electrical,bidirectional,400,,
