source_id,target_id,connection_type,flow_direction,capacity,length_km,diameter_inches,material
paccom_001,paccom_002,communication,bidirectional,,,,
paccom_001,paccom_003,communication,bidirectional,,,,
scada_srv_001,paccom_001,communication,bidirectional,,,,
scada_srv_001,rtu_001,control,bidirectional,,,,
scada_srv_001,rtu_002,control,bidirectional,,,,
scada_srv_001,rtu_003,control,bidirectional,,,,
rtu_001,paccom_002,communication,bidirectional,,,,
rtu_002,paccom_003,communication,bidirectional,,,,
rtu_003,paccom_002,communication,bidirectional,,,,
rtu_002,ls_001,control,bidirectional,,,,
rtu_003,ls_002,control,bidirectional,,,,
rtu_001,iv_001,control,bidirectional,,,,
rtu_002,cv_001,control,bidirectional,,,,
fm_001,rtu_001,monitoring,unidirectional,,,,
ls_003,rtu_002,monitoring,unidirectional,,,,
ts_001,rtu_001,monitoring,unidirectional,,,,
pg_001,rtu_003,monitoring,unidirectional,,,,
tp_001,ls_001,hydraulic,unidirectional,1500,2.0,36,PVC
tp_001,ls_002,hydraulic,unidirectional,1000,2.5,30,PVC
ls_001,sm_001,hydraulic,unidirectional,1500,,,
ls_002,sm_003,hydraulic,unidirectional,1000,,,
sm_001,mh_001,hydraulic,unidirectional,800,,,
sm_002,mh_002,hydraulic,unidirectional,600,,,
sm_003,mh_003,hydraulic,unidirectional,500,,,
sm_001,mh_004,hydraulic,unidirectional,700,,,
