id,name,component_type,location,latitude,longitude,capacity,unit,operational_status,installed_date
tp_001,West Pacific Water Treatment Plant,treatment_plant,"123 Water Works Road, Kaunakakai, Molokai, HI",21.1952,-157.0547,5000,gpm,active,2015-03-15
scada_srv_001,Central SCADA Server,scada_server,"123 Water Works Road, Kaunakakai, Molokai, HI",21.1952,-157.0547,,,active,2018-06-20
ps_001,Primary Pumping Station - North,pumping_station,"456 North Shore Road, Molokai, HI",21.2482,-157.0623,3000,gpm,active,2016-09-10
ps_002,Secondary Pumping Station - East,pumping_station,"789 East End Road, Molokai, HI",21.1865,-156.8945,2000,gpm,active,2017-11-05
res_001,North Storage Reservoir,reservoir,"500 North Shore Road, Molokai, HI",21.2561,-157.0854,1000000,gallons,active,2010-01-20
res_002,East Storage Reservoir,reservoir,"800 East End Road, Molokai, HI",21.1802,-156.8567,500000,gallons,active,2012-05-15
dm_001,Main Distribution Line - North,distribution_main,"North Shore zone, Molokai, HI",21.2312,-157.0736,,,active,
dm_002,Main Distribution Line - East,distribution_main,"East End zone, Molokai, HI",21.1834,-156.8756,,,active,
dm_003,Main Distribution Line - Central,distribution_main,"Central zone, Kaunakakai, Molokai, HI",21.1923,-157.0621,,,active,
cz_001,Residential Zone - North,customer_zone,"Maunaloa, North Molokai, HI",21.2156,-157.1298,,,active,
cz_002,Commercial Zone - Central,customer_zone,"Kaunakakai Downtown, Molokai, HI",21.1943,-157.0519,,,active,
cz_003,Industrial Zone - East,customer_zone,"Pukoo, East Molokai, HI",21.1745,-156.8234,,,active,
cz_004,Residential Zone - South,customer_zone,"Mapulehu, South Molokai, HI",21.1621,-157.0345,,,active,
rtu_001,RTU - North Station,rtu,"456 North Shore Road, Molokai, HI",21.2482,-157.0623,,,active,2018-03-10
rtu_002,RTU - East Station,rtu,"789 East End Road, Molokai, HI",21.1865,-156.8945,,,active,2018-03-10
rtu_003,RTU - North Reservoir,rtu,"500 North Shore Road, Molokai, HI",21.2561,-157.0854,,,active,2019-07-15
fm_001,Flow Meter - Treatment Plant Exit,flow_meter,Kaunakakai Treatment Plant,21.1952,-157.0547,,,active,
ls_001,Level Sensor - North Reservoir,level_sensor,North Shore Reservoir,21.2561,-157.0854,,,active,
ls_002,Level Sensor - East Reservoir,level_sensor,East End Reservoir,21.1802,-156.8567,,,active,
pg_001,Pressure Gauge - North Line,pressure_gauge,North Shore Distribution Main,21.2312,-157.0736,,,active,
pg_002,Pressure Gauge - East Line,pressure_gauge,East End Distribution Main,21.1834,-156.8756,,,active,
prv_001,Pressure Reducing Valve - North,prv,"North Shore PRV Station, Molokai, HI",21.2234,-157.0892,,,active,
cv_001,Check Valve - Pump Station North,check_valve,"North Pumping Station, Molokai, HI",21.2482,-157.0623,,,active,
iv_001,Isolation Valve - North Main,isolation_valve,"North Shore Main Valve Station, Molokai, HI",21.2401,-157.0679,,,active,
